drug_a,drug_b,severity,mechanism,action
warfarin,aspirin,high,"Warfarin and aspirin both impair hemostasis (coagulation + platelet inhibition), significantly increasing bleeding risk, especially GI hemorrhage.","Monitor INR and signs of bleeding; discuss with prescriber before combining."
warfarin,ibuprofen,high,"NSAIDs add an antiplatelet effect and can irritate the gastric mucosa, compounding warfarin-induced bleeding risk.","Avoid combination where possible; monitor INR and GI bleeding signs."
warfarin,clarithromycin,high,"Clarithromycin inhibits CYP2C9/CYP3A4 metabolism of warfarin, raising INR and bleeding risk.","Monitor INR closely during and after the antibiotic course; consider an alternative antibiotic."
warfarin,fluconazole,high,"Fluconazole inhibits CYP2C9, decreasing warfarin metabolism and increasing INR.","Reduce warfarin dose under prescriber guidance and monitor INR frequently."
simvastatin,clarithromycin,high,"Clarithromycin inhibits CYP3A4, blocking simvastatin clearance and raising the risk of myopathy/rhabdomyolysis.","Avoid coadministration; hold simvastatin for the duration of the clarithromycin course."
simvastatin,gemfibrozil,high,"Gemfibrozil inhibits simvastatin glucuronidation, greatly increasing myopathy and rhabdomyolysis risk.","Avoid combination; use an alternative fibrate or statin."
digoxin,amiodarone,high,"Amiodarone reduces digoxin clearance and displaces digoxin from tissue binding, raising serum digoxin levels and toxicity risk.","Reduce digoxin dose and monitor serum digoxin levels."
digoxin,verapamil,high,"Verapamil inhibits P-glycoprotein-mediated digoxin elimination, raising digoxin levels and toxicity risk.","Monitor digoxin levels; reduce dose if combined."
methotrexate,trimethoprim,high,"Both are antifolates; coadministration increases the risk of severe bone-marrow suppression and pancytopenia.","Avoid combination; use an alternative antibiotic."
lithium,ibuprofen,high,"NSAIDs reduce renal lithium clearance, raising lithium levels into the toxic range.","Monitor lithium levels; prefer alternative analgesia."
lisinopril,spironolactone,high,"ACE inhibitor plus potassium-sparing diuretic raises serum potassium, risking hyperkalemia and arrhythmia.","Monitor potassium and renal function; avoid in renal impairment."
theophylline,ciprofloxacin,high,"Ciprofloxacin inhibits CYP1A2, slowing theophylline clearance and causing toxicity (nausea, seizures, arrhythmia).","Monitor theophylline levels; reduce dose."
sertraline,tramadol,high,"Both agents raise serotonin; combined use increases serotonin syndrome risk and lowers the seizure threshold.","Monitor for serotonin syndrome symptoms; consider an alternative analgesic."
fluoxetine,phenelzine,critical,"SSRI + MAOI can precipitate serotonin syndrome (hyperthermia, rigidity, agitation) — a life-threatening emergency.","Never combine; allow an adequate washout period between agents."
sildenafil,nitroglycerin,critical,"PDE5 inhibitors potentiate nitrate vasodilation, causing severe, potentially fatal hypotension.","Contraindicated together; do not administer within 24-48 hours of nitrate use."
clopidogrel,omeprazole,moderate,"Omeprazole inhibits CYP2C19, reducing clopidogrel activation and antiplatelet efficacy.","Prefer pantoprazole/rabeprazole or consider an alternative."
valproic acid,carbamazepine,moderate,"Carbamazepine induces valproate metabolism and both compete for protein binding, altering levels and increasing toxicity.","Monitor drug levels and clinical response."
levothyroxine,calcium carbonate,moderate,"Calcium binds levothyroxine in the gut, reducing absorption and impairing thyroid control.","Separate doses by at least 4 hours."
fluconazole,sertraline,moderate,"Both agents prolong the QT interval; coadministration increases the risk of QT prolongation and torsades de pointes.","Monitor ECG; avoid if other QT-prolonging drugs are present."
acetaminophen,ibuprofen,low,"Mild additive effect when used together; generally well tolerated at recommended doses.","Use the lowest effective dose; avoid exceeding daily acetaminophen limits."
amoxicillin,acetaminophen,safe,"No clinically significant interaction reported.","No action required."
amoxicillin,ibuprofen,safe,"No clinically significant interaction reported.","No action required."
cetirizine,acetaminophen,safe,"No clinically significant interaction reported.","No action required."
metformin,lisinopril,safe,"No clinically significant interaction; the combination is generally considered beneficial where appropriate.","No action required."
