drug_name,trigger_type,trigger_condition,risk_level,effect,recommended_action
Metformin,lab,eGFR<30,Avoid,"Risk of lactic acidosis in significant renal impairment","Avoid; consider an alternative antidiabetic agent"
Metformin,lab,eGFR30-45,Caution,"Renally cleared; accumulation risk with declining function","Use with caution; reduce dose and monitor renal function"
Ibuprofen,lab,eGFR<60,Caution,"Further renal function decline and fluid retention","Use lowest effective dose short-term; monitor renal function"
Warfarin,lab,INR>3,Caution,"Supratherapeutic INR raises bleeding risk","Review dose; monitor INR closely"
Lisinopril,lab,potassium>5.0,Caution,"Higher hyperkalemia risk","Monitor potassium; consider dose adjustment"
Spironolactone,lab,potassium>5.0,Avoid,"Risk of severe hyperkalemia","Avoid; reassess potassium before starting"
Ibuprofen,condition,peptic_ulcer_disease,Caution,"Increased GI bleeding/ulceration risk","Use gastroprotection or avoid; consider acetaminophen"
Aspirin,condition,peptic_ulcer_disease,Caution,"Increased GI bleeding risk","Add gastroprotection or avoid; weigh cardiovascular benefit"
Propranolol,condition,asthma,Avoid,"Non-selective beta-blockade can precipitate bronchospasm","Avoid; use a cardioselective agent if beta-blockade is essential"
Metformin,condition,chronic_kidney_disease,Caution,"Accumulation risk in renal impairment","Check eGFR and adjust accordingly"
Lisinopril,condition,hyperkalemia_history,Avoid,"ACE inhibitors worsen hyperkalemia","Avoid; consider an alternative antihypertensive"
Spironolactone,condition,hyperkalemia_history,Avoid,"Risk of severe hyperkalemia","Avoid; consider an alternative"
Amoxicillin,allergy,penicillin_allergy,Avoid,"Cross-reactivity with penicillin allergy","Avoid; consider a non-beta-lactam alternative"
Ciprofloxacin,allergy,fluoroquinolone_allergy,Avoid,"Documented allergy to fluoroquinolones","Avoid; select an alternative antibiotic"
Warfarin,pregnancy,pregnant,Avoid,"Known teratogenic risk","Avoid in pregnancy; discuss alternative anticoagulation"
Lisinopril,pregnancy,pregnant,Avoid,"ACE inhibitors are contraindicated in pregnancy","Avoid in pregnancy; switch to a pregnancy-safe antihypertensive"
Ibuprofen,pregnancy,breastfeeding,Caution,"Use near term is associated with fetal risks","Use only if clearly needed; avoid near term"
Diazepam,age,age_gt_65,Caution,"Higher fall/confusion risk in older adults","Use lowest dose; monitor for sedation and falls"
Diphenhydramine,age,age_gt_65,Caution,"Anticholinergic burden; higher confusion/fall risk in older adults","Prefer non-anticholinergic alternatives"
